ID,time0sec
ATPS4m,0.398577863248647
IDP_h,0.0624065833606885
PPAm,0
THD1m,0
ADK1,0.163345423309029
GLTS_h,0.376013882944892
GALh,0.400176515289465
FACOAL181,0.0230908228448953
ACS,0.0506508596561778
CTPS1,0.0003366345368352
ASPTA,0
ASPATh,-0.0136403199338702
OAAAKGtm,0.0050599599862835
ASPTAm,0
FACOAL160,0.00783678694786974
SERDC_m,0.0107524009038478
SAL_m,-0.0239499691756464
ALATA_L,-0.143801069321171
GLYK,0.0173424484604187
MDHm,0.00226243043618979
AKGMALtm,0.00226243043618979
MALOAAtm,0
ME1m,0
PGI,-0.0107104053515741
PGI_h,-0.0459903494828495
AMPDA,0
FACOAL180_1,0.00136183908166308
TRDR,0.0001506548902921
FTHFD,0
FTHFLi,0
ASNS1,0
ACITL,0
AKGCITtm,0
CITtam,0
OAACITtm,0
CSm,0.00732239042242938
G3PD1,0.0413847432037073
TPIh,-2.56375981821327
RNDR2,3.67359313172354e-05
PGMT,0
PGM_h,-0.0459903494828495
PCm,0
AKGICITtm,0
CITtcm,0
MALICITtm,0
OAAICITtm,0
METAT,0.0182032772554235
GHMT2rm,-0.00728667993530507
PEPC_m,0
PYK,0
AGPOP,0
PYK3,0
PEPC_h,0.0187002799201447
PPDK_h,0
PYKm,0.412550591147399
PPCKm,0
SAT,0
RNDR1,3.85915138288145e-05
r0280,0
DHFR2i,0
DHFR,3.85915138288145e-05
AGTim,0
MALSp,0
FACOAL1821,0.000266883956437207
PDHe3hr,0.768599088582846
GCC2cm,0
PYDXK,0
PYDXPP,0
PRPPS,0
GMPS,0.000298043023006386
GMPS2,0
IMPD,0.000298043023006386
PDHam1hi,0.768599088582871
PDHam1mi,0
THRD_Lm,0
ALCD2y,0
THRA_m,0
SUAT_h,0.00715809196811029
RNDR3,7.53274451460498e-05
DOLPMT,0.0429991992009353
TMDS,3.85915138849668e-05
DTMPK,3.85915138288145e-05
URIDK2r,0
CCP2_m,0
CYSS_1,0
