ala__L_c,0.3300989569,0.2584539176,0.2357654174,0.1745917793,0.1571914073,0.0864815705,0.0492608726
arg__L_c,0.1941430746,0.1520083747,0.13866527,0.1026875874,0.0924454649,0.0508626646,0.0289717482
asn__L_c,0.1275358812,0.0885079324,0.0813709661,0.0612173035,0.0569240236,0.0353906517,0.0222225276
asp__L_c,0.2897022669,0.2268227919,0.2069171466,0.1532310263,0.1379512901,0.0758980353,0.0432335125
cys__L_c,0.0175471465,0.0137385627,0.0125331097,0.0092813082,0.0083558091,0.0045970154,0.0026185669
gln__L_c,0.1481854841,0.102838438,0.0945459104,0.071129126,0.0661407121,0.0411208266,0.0258206239
glu__L_c,0.3249403977,0.2544185867,0.2320839536,0.1718649677,0.1547269803,0.0851300785,0.0484911949
gly_c,0.3304178472,0.2587070017,0.2359939602,0.1747697188,0.1476376715,0.0865678394,0.0493092625
his__L_c,0.0319721012,0.0250331709,0.0228353972,0.0169105871,0.0152243059,0.0083761903,0.0047712941
ile__L_c,0.1377633264,0.1078670432,0.0983974642,0.0728658115,0.0655965778,0.036092154,0.0205584059
leu__L_c,0.2404105107,0.1882314282,0.1717144977,0.1271567506,0.1144802375,0.0629830708,0.0358773747
lys__L_c,0.1227673225,0.0911514857,0.0804198073,0.0554111983,0.042058654,0.0055489424,0
met__L_c,0.0451189044,0.0353262051,0.0322259238,0.023864374,0.0214846852,0.0118205233,0.0067331679
phe__L_c,0.1222644959,0.0957311713,0.0873252525,0.0646694731,0.0582182644,0.0320315916,0.018245529
pro__L_c,0.1354163628,0.1060263492,0.096719484,0.0716249237,0.0644826934,0.0354766395,0.02020839
ser__L_c,0.1719534539,0.1346375058,0.1228177649,0.090949662,0.0818763485,0.0450495114,0.0256605948
thr__L_c,0.1695526915,0.1327570824,0.1211000094,0.0896816622,0.0807353218,0.0444204389,0.0253023458
trp__L_c,0.0292699928,0.0203129231,0.0186749609,0.014049615,0.0130642902,0.0081222955,0.0051001586
tyr__L_c,0.0625788926,0.0489974509,0.044696516,0.0330991833,0.0297986203,0.0163948581,0.0093387601
val__L_c,0.1935796109,0.1515671991,0.1382628202,0.102389556,0.0921795866,0.0507135362,0.0288876632
xyl__D_c,0.039874664,0.0578596348,0.0566693121,0.0478657834,0.0542392314,0.0548913048,0.0439628559
fuc__L_c,0.0547060939,0.0793785746,0.0777475318,0.0656681215,0.0744122793,0.0753081926,0.0603159091
gal_c,0.024921665,0.0361613507,0.0354200136,0.0299167517,0.0338989272,0.0343078021,0.0274767849
