ID,time0sec
ATPS4m,0.264942155080007
IDP_h,0.0482587059602396
PPAm,0
THD1m,0
ADK1,0.159767734454077
GLTS_h,0.572175572959798
GALh,0.608199345083716
FACOAL181,0.0166061796340353
ACS,0.0690634107245308
CTPS1,0.000898704825377294
ASPTA,0
ASPATh,-0.041264347230026
OAAAKGtm,0.0159730760165075
ASPTAm,0
FACOAL160,0.0055529126410163
SERDC_m,0.00742842965822291
SAL_m,-0.0270509678242661
ALATA_L,-0.0632962248331523
GLYK,0.0128576475386792
MDHm,0.00758080735590738
AKGMALtm,0.00758080735590738
MALOAAtm,0
ME1m,0
PGI,-0.0101002527438823
PGI_h,-0.0333615005162073
AMPDA,0
FACOAL180_1,0.00094982158311997
TRDR,0.000402199602152506
FTHFD,0
FTHFLi,0
ASNS1,0
ACITL,0
AKGCITtm,0
CITtam,0
OAACITtm,0
CSm,0.0235538833723639
G3PD1,0.0283999683028924
TPIh,-2.3897590090146
RNDR2,9.80729965903619e-05
PGMT,0
PGM_h,-0.0333615005162073
PCm,0
AKGICITtm,0
CITtcm,0
MALICITtm,0
OAAICITtm,0
METAT,0.0123966774133508
GHMT2rm,-0.000462268393107479
PEPC_m,0
PYK,0
AGPOP,0
PYK3,0
PEPC_h,0
PPDK_h,0
PYKm,0.659908349042214
PPCKm,0
SAT,0
RNDR1,0.000103026804485891
r0280,0
DHFR2i,0
DHFR,0.000103026804485891
AGTim,0
MALSp,0
FACOAL1821,0.000188807979626072
PDHe3hr,0.534585262256087
GCC2cm,0
PYDXK,0
PYDXPP,0
PRPPS,0
GMPS,0.000795678020891408
GMPS2,0
IMPD,0.000795678020891408
PDHam1hi,0.534585262256085
PDHam1mi,0
THRD_Lm,0
ALCD2y,0
THRA_m,0
SUAT_h,0.00639646145979282
RNDR3,0.000201099801076253
DOLPMT,0.0573929825951878
TMDS,0.000103026804481487
DTMPK,0.000103026804485891
URIDK2r,0
CCP2_m,0
CYSS_1,0
AHCi,0.0123966774133351
GAPD,0
GAPDH_nadp_hi,5.92025308099585
PGKh,-5.92025308099585
GAPDHm,-0.289050557351402
ENO_h,-0.0122737649212468
ENOm,0.659908349042212
G6PDH2r,0
DMORh,0.0126276234227391
KARA1im,0
MG3_c,0.014348245648797
MG2_c,0.014348245648797
CBL_m,0
IDIh,0
PETHCT,0.00332410551405817
DHFOR,0
THFOR1,0
THFOR2,0
FOLR2_1,0
GGPS_h,0.000516954985369848
GUAD,0
LDHm,0
MI3PS,0
DVPCHLDR,2.67753276830263e-05
PCHLDOR_h,0
PDXPP,0
PYDXNK,0
SDH_m,-0.00719517802349401
PYDXS,0
UDPGD,0
MTMOHT,0
PGLYCPh,0
IPPSh,0.00699510970841869
PPNCL_m,0
METS_1,0.0137094707240522
MTHFR2_1,0
MTHFR3_1,0.0137094707240964
GND,0
PGDHh,0
EAR40x_1,0.0636016324289644
OCBTm,0.00564881940385931
UPPDC1_1,8.37049808565864e-05
DVCHLDR,0
DVPCHLDOR_h,0
FBP_h,1.20042871184425
FBA_h,-1.20042871184421
ORNTArm,0.0789594852649316
GRTT,0
DMATT,0
FPPS_h,0.000516954985369848
GPPS_h,0.000516954985369848
IDS1,0.00155086495610954
IDS2,0.000516954985369848
HMGLm,0
FACOAL1831,0.0142196896947947
MCOATA_1,0.463757261234605
MMSAD1m,0
NITR,0.177156201674949
GGDR,0
CHORM,0.00537820937847755
FCLT_h,0
HYPOE,0
PYDAMK,0
PRUK_1,3.44074287615533
TALA_h,0
SELCYSLY2,0
SELTOR_c,0
SPMS,0
SUCOASm,0
EAR120x_1,0.0636016324289644
EAR60x_1,0.0636016324289644
EAR160x_1,0.0601944048076428
RPEh,-2.27981254728786
TKT1h,-1.16093032886749
TKL2_h,1.16706721132812
P5CR,0
DAPEP_h,0.00267815038569097
DPHS,0.00613688246061572
ACACT10m,0
OIVD3m,0
OIVD2m,0
IMPDH_h,0.00699510970841869
DHQS_1,0.00613688246061572
SERPT,0
KARI,0.00400828627448391
KARI_23dhmp,0.00400828627444013
MCCCrm,0
MGCHrm,0
OIVD1m,0
3OAS181_1,0.0207345135690118
3OAS120_h,0.0636016324289644
3OAS100_h,0.0636016324289644
3OAS60_h,0.0636016324289644
3OAS140_h,0.0636016324289644
3OAS80_h,0.0636016324289644
3OAS180_h,0.00121854828418406
3OAS160_h,0.0601944048076428
CHRS,0.00613688246061572
ADCS,0
CMS_h,0.00206781994143057
FUMAC,0
HGNTOR,0
ASADH,0.0129325301771955
ASPK_1,0.0129325301771955
AIRCr,0.000898704825431196
PRASCSi,0.000898704825377405
MTRI,0
MTRK,0
MTAN_m,0
AGK_h,0.0885484271570374
3OAS40_h,0.0636016324289644
PDHam2hi,0.534585262256085
PDHam2mi,0
PDHe2r,0
ARGSS,0.005648819403905
ASPCT,0.00719517802347205
DHORTS,-0.00719517802349401
NCPA_c,0
CAS,0
DADK,0
ADSS,0.00103328312659337
GLCNACPT_c,0.014348245648797
TMTD,0
DXRI,0.00206781994143057
PRAIS,0.000898704825377405
PRFGS,0.000898704825377405
LCYG,0.000258477492707243
G1SAT_h,-0.000669639846819337
G5SD,0
GTHS_h,0
HISTD,0.000930256322107375
FACOAL1832,0.000186603171742862
MPML_h,8.37049808565864e-05
MPMT_h,-8.37049808524171e-05
NOR,0.000258477492707243
CYEUOLCYCI,0
OBFOOLOR,0
CMK,0.00206781994147939
PPNDH,0.00355740423567982
PDS1,0.000258477492707243
PSY_h,0.000258477492684924
PPBNGD,8.37049808524171e-05
PPBNGS_h,0.000334819923426346
CPPPGO_1,8.37049808565864e-05
PPPGO_1,8.37049808565864e-05
PRAGSr,0.000898704825377405
IG3PS,0.000930256322107375
PRMICI,0.000930256322107375
PSP_m,0
PSPPS,0
FBA3hi,1.16093032886747
SBP_1,1.16093032886747
AKGDbm,0
AKGDam,0
PSCIT,0.00613688246062338
SS,0
DAPAT_h,0.00267815038569097
DHPR_h,0.00267815038567476
GLUTRS,0
GLUTRR_1,0.000669639846852691
TMTG,0
PDS2,0.000258477492707243
ZDS,0.000258477492707243
FMETTRS,0
FORAMD,0
HEMEASM_m,0
MERGTROLR,0
PPM,-0.00978281225309274
PPMh,0
BETALDHx,0
SSALxm,0
ARGTRS,0
CYSTRS,0
GLYTLm,0
HISTRS,0
ILETRS,0
LEUTRS,0
LYSTRSm,0
METTRS,0
PHETRSm,0
PROTRS,0
THRTRS,0
THRTRSm,0
TRPTRS,0
TYRTRS,0
VALTRS,0
VALTLh,0
NADK_h,0
GALm,0
G3P_pi_thr,0
FUMm,0
GLYTA_1,0
BCTA_val_h,-0.00563251371431761
PGM,0
PGMm,-0.289050557351402
PDX5POi,0
PYDXNO,0
PYAM5PO,0
PYDXO_1,0
PMANM,-0.113206358494608
PHETA1,-0.00355740423572115
GLYTRS,0
