ID,time0sec
13BGH,0
13BGHe,0
13GS,0
16GS,0
23CAPPD,0
2DDA7Ptm,0
2DHPtm,0.00529581937007606
2DOXG6PP,0
2HBO,0
2HBt2,0
2HMHMBQMTm,0
2HP6MPMOm,0
2HPMBQMTm,0
2HPMMBQMOm,0
2MBACt,0
2MBALDt,0
2MBALDtm,0
2MBTOHt,0
2MBTOHtm,0
2MPPALt,0
2MPPALtm,0
2OBUTtm,0
2OXOADPtim,0.00399373585250846
2PHETOHt,0
2PHETOHtm,0
34HPLFM,0
34HPPOR,0
34HPPt2m,0.00101579760666937
34HPPt2p,0
3C3HMPt,0
3C3HMPtm,-0.0034563047811389
3C4MOPtm,0
3DH5HPBMTm,0
3DH5HPBtm,0
3DSPHR,0
3HAO,0
3HPH5MBDCm,0
3IPM3MT,0
3MBALDt,0
3MBALDtm,0
3MOBDC,0
3MOBtm,-0.00849772547371686
3MOPDC,0
3MOPt,0
3MOPtm,0.141482831211761
3OPHB5Hm,0
3OPHB_5tm,0
4ABUTNtm,0
4ABUTtm,0
4ABZt,0
4ABZtm,0
4H2OGLTtm,0
4H2OGLTtp,0
4HBZCOAFm,0
4HBZFm,0
4HBZtm,0
4HGLSDm,0
4HPRO_LTtm,0
4HTHRS,0
4MOPDC,0
5AOPt2,0
5AOPtm,0
6PGLter,-0.00363853527233005
8AONNt2,0
AABTN,0
AACTOOR,0
AASAD1,0
AASAD2,0.00399373585250846
AATA,0.0039937358815223
ABTA,0
ABTt,0
ABUTDm,0
ABUTt2r,0
ACACT1r,0
ACACT1m,0.0109156059484188
ACACT4p,0
ACACT5p,0
ACACT6p,0
ACACT7p,0
ACACT8p,0
ACACT9p,0
ACALDCD,0
ACALDt,0
ACALDtm,0
ACCOAC,0.0298601301619783
ACCOACrm,0
ACCOAtn,0
ACESt,0
ACGAM6PS,0
ACGAMPM,0
ACGKm,0.00342673597556078
ACGSm,0
ACHBSm,0
ACHLE1,0
ACHLE2,0
ACHLE3,0
