acaro_h,0.00050418,0.00050418,0.00050418,0.00050418,0.00050418,0.00050418,0.000504,0.000504,0.000504,0.000504,0.000504,0.000504
adp_c,-39.24,-39.24,-39.24,-39.24,-39.24,-39.24,-39.24,-39.24,-39.24,-39.24,-39.24,-39.24
ala__L_c,0.46467,0.392,0.222,0.203,0.155,0.135,0.46,0.389,0.212,0.177,0.139,0.124
anxan_u,0.00010084,0.00010084,0.00010084,0.00010084,0.00010084,0.00010084,0.000101,0.000101,0.000101,0.000101,0.000101,0.000101
arab__L_c,0.039,0.05,0.061,0.071,0.065,0.058,0.0383,0.0485,0.0587,0.0616,0.0583,0.0527
arg__L_c,0.001,0.001,0.001,0.001,0.001,0.001,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011
asn__L_c,0.097,0.097,0.097,0.097,0.097,0.097,0.349,0.302,0.158,0.129,0.101,0.0884
asp__L_c,0.352,0.305,0.165,0.149,0.112,0.097,0.0965,0.0965,0.0965,0.0965,0.0965,0.0965
asqdca18111Z160_c,0.004,0.002,0.008,0.009,0.014,0.015,0.0011849978,0.0011849978,0.0011849978,0.0011849978,0.0011849978,0.0011849978
asqdca1819Z160_c,0.004,0.002,0.008,0.009,0.014,0.015,0.00406,0.00216,0.00759,0.00871,0.0137,0.0154
asqdca1829Z12Z160_c,0.004,0.002,0.008,0.009,0.014,0.015,0.00406,0.00216,0.00759,0.00871,0.0137,0.0154
asqdca1839Z12Z15Z160_c,0.003,0.002,0.006,0.006,0.011,0.012,0.00406,0.00216,0.00759,0.00871,0.0137,0.0154
asqdpa18111Z160_c,0.004,0.002,0.008,0.009,0.014,0.015,0.00406,0.00216,0.00759,0.00871,0.0137,0.0154
asqdpa1819Z160_c,0.003,0.002,0.006,0.006,0.011,0.012,0.00294,0.00164,0.00574,0.00631,0.0109,0.0122
asqdpa1829Z12Z160_c,0.003,0.002,0.005,0.004,0.006,0.007,0.00345,0.00209,0.00511,0.0043,0.00644,0.0072
asqdpa1839Z12Z15Z160_c,0.004,0.002,0.005,0.004,0.006,0.008,0.00375,0.0021,0.00506,0.00397,0.00644,0.00754
atp_c,39.24,39.24,39.24,39.24,39.24,39.24,39.2,39.2,39.2,39.2,39.2,39.2
caro_u,0.0022351,0.0022351,0.0022351,0.0022351,0.0022351,0.0022351,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224
chla_u,0.001,0.001,0.001,0.001,0.001,0.001,0.00133,0.00133,0.00133,0.00133,0.00133,0.00133
chlb_u,0.002,0.002,0.002,0.002,0.002,0.002,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168
ctp_c,0.001,0.001,0.001,0.001,0.001,0.001,0.0272,0.0237,0.0127,0.0104,0.00822,0.00723
cys__L_c,0.019,0.019,0.019,0.019,0.019,0.019,0.0191,0.0191,0.0191,0.0191,0.0191,0.0191
datp_c,0.025,0.024,0.007,0.005,0.004,0.004,0.0254,0.0236,0.00736,0.00535,0.00398,0.0037
dctp_c,0.016,0.015,0.005,0.003,0.003,0.002,0.0163,0.0152,0.00473,0.00344,0.00256,0.00238
dgdg1819Z160_h,0.002,0.001,0.004,0.005,0.009,0.01,0.0016,0.000871,0.00396,0.00505,0.00868,0.0096
dgdg1819Z1617Z_h,0,0,0.002,0.004,0.007,0.007,0.000388,0.000267,0.00236,0.00355,0.00681,0.00732
dgdg1819Z1619Z_h,0,0,0.002,0.004,0.007,0.007,0.000388,0.000267,0.00236,0.00355,0.00681,0.00732
dgdg1819Z1627Z10Z_h,0.002,0.002,0.005,0.005,0.008,0.009,0.00182,0.00152,0.00442,0.00452,0.0085,0.00899
dgdg1819Z1634Z7Z10Z_h,0,0,0.002,0.003,0.006,0.007,0.000227,0.000153,0.00205,0.00318,0.00626,0.00673
dgdg1819Z1637Z10Z13Z_h,0,0,0.002,0.003,0.006,0.007,0.000227,0.000153,0.00205,0.00318,0.00626,0.00673
dgdg1829Z12Z160_h,0.002,0.002,0.004,0.003,0.005,0.005,0.00234,0.00151,0.00378,0.00341,0.00472,0.00508
dgdg1829Z12Z1617Z_h,0.001,0.001,0.002,0.002,0.003,0.003,0.00113,0.000911,0.00218,0.00191,0.00285,0.0028
dgdg1829Z12Z1619Z_h,0.001,0.001,0.002,0.002,0.003,0.003,0.00113,0.000911,0.00218,0.00191,0.00285,0.0028
dgdg1829Z12Z1627Z10Z_h,0.003,0.002,0.004,0.003,0.005,0.004,0.00256,0.00216,0.00424,0.00288,0.00454,0.00447
dgdg1829Z12Z1634Z7Z10Z_h,0.001,0.001,0.002,0.002,0.002,0.002,0.000969,0.000797,0.00187,0.00155,0.0023,0.00221
dgdg1829Z12Z1637Z10Z13Z_h,0.001,0.001,0.002,0.002,0.002,0.002,0.000969,0.000797,0.00187,0.00155,0.0023,0.00221
dgdg1839Z12Z15Z160_h,0.002,0.001,0.003,0.004,0.005,0.006,0.00157,0.001,0.00302,0.00363,0.00489,0.00554
dgdg1839Z12Z15Z1627Z10Z_h,0.004,0.003,0.006,0.003,0.007,0.007,0.00424,0.00292,0.00582,0.00348,0.00666,0.00739
dgdg1839Z12Z15Z1634Z7Z10Z_h,0.003,0.002,0.004,0.002,0.004,0.005,0.00264,0.00155,0.00345,0.00215,0.00442,0.00514
dgdg1839Z12Z15Z1637Z10Z13Z_h,0.003,0.002,0.004,0.002,0.004,0.005,0.00264,0.00155,0.00345,0.00215,0.00442,0.00514
dgtp_c,0.002,0.001,0.002,0.001,0.003,0.003,0.00964,0.00897,0.0028,0.00204,0.00151,0.00141
dgts1819Z1829Z12Z_c,0,0,0,0,0,0,0.0002012327,0.0002012327,0.0002012327,0.0002012327,0.0002012327,0.0002012327
dgts1819Z1835Z9Z12Z_c,0,0,0,0,0,0,0.000403535,0.000403535,0.000403535,0.000403535,0.000403535,0.000403535
dgts1819Z1845Z9Z12Z15Z_c,0,0,0,0,0,0,0.0002697366,0.0002697366,0.0002697366,0.0002697366,0.0002697366,0.0002697366
dgts1829Z12Z18111Z_c,0,0,0,0,0,0,7.45E-005,7.45E-005,7.45E-005,7.45E-005,7.45E-005,7.45E-005
dgts1829Z12Z1819Z_c,0,0,0,0,0,0,7.45E-005,7.45E-005,7.45E-005,7.45E-005,7.45E-005,7.45E-005
dgts1829Z12Z1829Z12Z_c,0,0,0,0,0,0,0.0004035297,0.0004035297,0.0004035297,0.0004035297,0.0004035297,0.0004035297
dgts1829Z12Z1835Z9Z12Z_c,0,0,0,0,0,0,0.0016184195,0.0016184195,0.0016184195,0.0016184195,0.0016184195,0.0016184195
dgts1829Z12Z1845Z9Z12Z15Z_c,0,0,0,0,0,0,7.51E-005,7.51E-005,7.51E-005,7.51E-005,7.51E-005,7.51E-005
dgts1839Z12Z15Z18111Z_c,0,0,0,0,0,0,0.0003362792,0.0003362792,0.0003362792,0.0003362792,0.0003362792,0.0003362792
dgts1839Z12Z15Z1819Z_c,0,0,0,0,0,0,0.0003362792,0.0003362792,0.0003362792,0.0003362792,0.0003362792,0.0003362792
dgts1839Z12Z15Z1835Z9Z12Z_c,0,0,0,0,0,0,0.0010818288,0.0010818288,0.0010818288,0.0010818288,0.0010818288,0.0010818288
dgts1839Z12Z15Z1845Z9Z12Z15Z_c,0,0,0,0,0,0,0.0004067672,0.0004067672,0.0004067672,0.0004067672,0.0004067672,0.0004067672
dttp_c,0.002,0.001,0.003,0.001,0.003,0.003,0.111,0.0969,0.0519,0.0426,0.0335,0.0295
gal_c,0.251,0.234,0.217,0.227,0.193,0.161,0.249,0.228,0.207,0.197,0.173,0.147
glc__A_c,0.96,1.451,2.527,2.537,1.91,1.427,0.95,1.44,2.42,2.21,1.71,1.31
gln__L_c,0.041,0.041,0.041,0.041,0.041,0.041,0.0413,0.0413,0.0413,0.0413,0.0413,0.0413
glu__L_c,0.461,0.378,0.202,0.182,0.14,0.122,0.456,0.375,0.193,0.158,0.126,0.112
gly_c,0.412,0.359,0.199,0.18,0.137,0.118,0.408,0.356,0.19,0.156,0.123,0.108
gtp_c,0.237,0.206,0.114,0.103,0.079,0.068,0.0156,0.0136,0.00729,0.00599,0.00471,0.00415
h_c,-39.24,-39.24,-39.24,-39.24,-39.24,-39.24,-39.24,-39.24,-39.24,-39.24,-39.24,-39.24
h2o_c,29.89,29.89,29.89,29.89,29.89,29.89,29.9,29.9,29.9,29.9,29.9,29.9
his__L_c,0.068,0.058,0.032,0.029,0.021,0.018,0.0676,0.0573,0.0303,0.0249,0.0193,0.0166
ile__L_c,0.152,0.134,0.074,0.067,0.051,0.043,0.151,0.133,0.0708,0.0579,0.0454,0.0398
leu__L_c,0.352,0.312,0.177,0.16,0.122,0.105,0.349,0.309,0.169,0.139,0.109,0.0957
loroxan_u,0.00065544,0.00065544,0.00065544,0.00065544,0.00065544,0.00065544,0.000655,0.000655,0.000655,0.000655,0.000655,0.000655
lut_u,0.00492958,0.00492958,0.00492958,0.00492958,0.00492958,0.00492958,0.00493,0.00493,0.00493,0.00493,0.00493,0.00493
lys__L_c,0.227,0.185,0.103,0.094,0.071,0.061,0.225,0.183,0.0989,0.0819,0.064,0.056
man_c,0.037,0.042,0.047,0.076,0.093,0.109,0.0364,0.0406,0.0448,0.0657,0.083,0.0999
met__L_c,0.085,0.074,0.041,0.036,0.028,0.024,0.0837,0.0733,0.0388,0.0315,0.0248,0.0217
mgdg1819Z160_h,0.001,0,0.002,0.003,0.005,0.005,0.000676,0.000376,0.00205,0.00276,0.00495,0.00542
mgdg1819Z1617Z_h,0,0,0.002,0.002,0.005,0.005,0.00033,0.000229,0.00167,0.00246,0.00465,0.00499
