acaro_h,8.00E-008,8.00E-008,8.00E-008,8.00E-008,8.00E-008,7.97E-008,7.97E-008,7.97E-008,7.97E-008,7.97E-008
adp_c,-38.78,-38.78,-38.78,-38.78,-38.78,-38.78,-38.78,-38.78,-38.78,-38.78
ala__L_c,0.249,0.257,0.193,0.159,0.126,0.298,0.315,0.232,0.187,0.139
anxan_u,0.00E+000,0.00E+000,0.00E+000,0.00E+000,2.00E-008,1.59E-008,1.59E-008,1.59E-008,1.59E-008,1.59E-008
arab__L_c,0.076,0.052,0.047,0.042,0.048,0.0912,0.0643,0.056,0.049,0.0526
arg__L_c,0.001,0.001,0.001,0.001,0.001,0.0011,0.0011,0.0011,0.0011,0.0011
asn__L_c,0.097,0.097,0.097,0.097,0.097,0.207,0.23,0.172,0.137,0.102
asp__L_c,0.173,0.187,0.143,0.117,0.092,0.0965,0.0965,0.0965,0.0965,0.0965
asqdca18111Z160_c,0.005,0.004,0.006,0.008,0.008,0.0011849978,0.0011849978,0.0011849978,0.0011849978,0.0011849978
asqdca1819Z160_c,0.005,0.004,0.006,0.008,0.008,0.00645,0.00548,0.00763,0.00941,0.0107
asqdca1829Z12Z160_c,0.005,0.004,0.006,0.008,0.008,0.00645,0.00548,0.00763,0.00941,0.0107
asqdca1839Z12Z15Z160_c,0.004,0.003,0.004,0.006,0.006,0.00645,0.00548,0.00763,0.00941,0.0107
asqdpa18111Z160_c,0.005,0.004,0.006,0.008,0.008,0.00645,0.00548,0.00763,0.00941,0.0107
asqdpa1819Z160_c,0.004,0.003,0.004,0.006,0.006,0.00491,0.00357,0.00497,0.0076,0.00843
asqdpa1829Z12Z160_c,0.004,0.003,0.004,0.006,0.005,0.00519,0.00384,0.00496,0.00737,0.00742
asqdpa1839Z12Z15Z160_c,0.004,0.003,0.004,0.006,0.005,0.00505,0.00356,0.00462,0.00723,0.00709
atp_c,39.24,39.24,39.24,39.24,39.24,39.24,39.24,39.24,39.24,39.24
caro_u,2.20E-007,2.20E-007,2.20E-007,2.20E-007,2.20E-007,2.23E-007,2.23E-007,2.23E-007,2.23E-007,2.23E-007
chla_u,0.02,0.02,0.02,0.02,0.02,0.0202,0.0202,0.0202,0.0202,0.0202
chlb_u,0.005,0.005,0.005,0.005,0.005,0.00883,0.00883,0.00883,0.00883,0.00883
ctp_c,0.005,0.005,0.005,0.005,0.005,0.0159,0.0177,0.0136,0.0109,0.00813
cys__L_c,0.01,0.01,0.01,0.01,0.01,0.0191,0.0191,0.0191,0.0191,0.0191
datp_c,0.008,0.008,0.008,0.008,0.008,0.0636,0.071,0.0544,0.0435,0.0326
dctp_c,0.005,0.005,0.005,0.005,0.005,0.0409,0.0456,0.035,0.0279,0.0209
dgdg1819Z160_h,0.003,0.002,0.003,0.004,0.004,0.00309,0.00244,0.00353,0.00491,0.00588
dgdg1819Z1617Z_h,1.00E-003,0.001,0.001,0.002,0.002,0.00147,0.000953,0.00153,0.00281,0.00366
dgdg1819Z1619Z_h,1.00E-003,0.001,0.001,0.002,0.002,0.00147,0.000953,0.00153,0.00281,0.00366
dgdg1819Z1627Z10Z_h,0.002,0.001,0.002,0.004,0.005,0.00228,0.00172,0.00254,0.00507,0.00598
dgdg1819Z1634Z7Z10Z_h,0.001,0.001,0.001,0.002,0.002,0.00127,0.000767,0.00129,0.00253,0.00333
dgdg1819Z1637Z10Z13Z_h,0.001,0.001,0.001,0.002,0.002,0.00127,0.000767,0.00129,0.00253,0.00333
dgdg1829Z12Z160_h,0.003,0.002,0.003,0.005,0.004,0.00387,0.00304,0.00393,0.00542,0.00561
dgdg1829Z12Z1617Z_h,0.002,0.001,0.002,0.003,0.002,0.00226,0.00156,0.00194,0.00332,0.00339
dgdg1829Z12Z1619Z_h,0.002,0.001,0.002,0.003,0.002,0.00226,0.00156,0.00194,0.00332,0.00339
dgdg1829Z12Z1627Z10Z_h,0.003,0.002,0.002,0.005,0.004,0.00306,0.00233,0.00294,0.00558,0.00572
dgdg1829Z12Z1634Z7Z10Z_h,0.002,0.001,0.001,0.003,0.002,0.00206,0.00137,0.0017,0.00304,0.00307
dgdg1829Z12Z1637Z10Z13Z_h,0.002,0.001,0.001,0.003,0.002,0.00206,0.00137,0.0017,0.00304,0.00307
dgdg1839Z12Z15Z160_h,0.002,0.002,0.003,0.003,0.003,0.00277,0.0023,0.00332,0.00367,0.00419
dgdg1839Z12Z15Z1627Z10Z_h,0.004,0.002,0.003,0.007,0.006,0.0046,0.00289,0.00364,0.00804,0.00771
dgdg1839Z12Z15Z1634Z7Z10Z_h,0.003,0.002,0.002,0.005,0.004,0.0036,0.00193,0.0024,0.0055,0.00506
dgdg1839Z12Z15Z1637Z10Z13Z_h,0.003,0.002,0.002,0.005,0.004,0.0036,0.00193,0.0024,0.0055,0.00506
dgtp_c,0.002,0.001,0.001,0.003,0.002,0.0242,0.027,0.0207,0.0165,0.0124
dttp_c,0.002,0.001,0.001,0.003,0.003,0.0648,0.0724,0.0554,0.0443,0.0332
gal_c,0.166,0.152,0.169,0.157,0.148,0.198,0.186,0.203,0.184,0.164
glc__A_c,0.98,1.12,1.11,1.352,1.402,1.41,1.61,1.66,1.79,1.77
gln__L_c,0.041,0.041,0.041,0.041,0.041,0.0413,4.13E-002,4.13E-002,4.13E-002,4.13E-002
glu__L_c,0.24,0.249,0.187,0.148,0.118,0.288,3.05E-001,2.24E-001,1.74E-001,1.30E-001
gly_c,0.195,0.213,0.167,0.138,0.109,0.234,0.262,0.201,0.162,0.12
gtp_c,0.112,0.122,0.096,0.079,0.063,0.00911,0.0102,0.00779,0.00623,0.00466
h_c,-38.78,-38.78,-38.78,-38.78,-38.78,-38.78,-3.88E+001,-3.88E+001,-3.88E+001,-3.88E+001
h2o_c,29.89,29.89,29.89,29.89,29.89,29.89,29.89,29.89,29.89,29.89
his__L_c,0.032,0.034,0.028,0.024,0.019,0.0377,0.0424,0.0338,0.0276,0.0206
ile__L_c,0.071,0.077,0.062,0.051,0.04,0.0845,0.0951,0.0738,0.0594,0.0446
leu__L_c,0.17,0.187,0.149,0.124,0.099,0.204,0.23,0.179,0.145,0.109
loroxan_u,1.00E-007,1.00E-007,1.00E-007,1.00E-007,1.00E-007,1.04E-007,1.04E-007,1.04E-007,1.04E-007,1.04E-007
lut_u,2.00E-007,2.00E-007,2.00E-007,2.00E-007,2.00E-007,1.99E-007,1.99E-007,1.99E-007,1.99E-007,1.99E-007
lys__L_c,0.107,0.116,0.09,0.074,0.059,0.128,0.142,0.108,0.0872,0.0649
man_c,0.019,0.02,0.024,0.029,0.031,0.0232,0.0247,0.0285,0.0339,0.0346
met__L_c,0.047,0.046,0.038,0.031,0.024,0.0557,0.0567,0.0451,0.0361,0.0269
mgdg1819Z160_h,0.001,0.001,0.001,0.002,0.002,0.00152,0.00114,0.00169,0.00255,0.00312
mgdg1819Z1617Z_h,0.001,0.001,0.001,0.002,0.002,0.00104,0.000705,0.0011,0.00194,0.00251
mgdg1819Z1619Z_h,0.001,0.001,0.001,0.002,0.002,0.00104,0.000705,0.0011,0.00194,0.00251
mgdg1819Z1627Z10Z_h,0.002,0.001,0.002,0.004,0.004,0.00256,0.00152,0.00197,0.00415,0.00449
mgdg1819Z1637Z10Z13Z_h,0.002,0.001,0.002,0.004,0.004,0.00256,0.00152,0.00197,0.00415,0.00449
mgdg1829Z12Z160_h,0.002,0.001,0.002,0.003,0.003,0.00216,0.00152,0.00234,0.00381,0.00479
mgdg1829Z12Z1617Z_h,0.001,0.001,0.001,0.003,0.003,0.00168,0.00109,0.00175,0.00321,0.00418
mgdg1829Z12Z1619Z_h,0.001,0.001,0.001,0.003,0.003,0.00168,0.00109,0.00175,0.00321,0.00418
mgdg1829Z12Z1627Z10Z_h,0.005,0.004,0.005,0.011,0.012,0.00548,0.0047,0.00645,0.0131,0.0144
mgdg1829Z12Z1634Z7Z10Z_h,0.003,0.002,0.002,0.005,0.005,0.0032,0.0019,0.00261,0.00542,0.00616
mgdg1829Z12Z1637Z10Z13Z_h,0.003,0.002,0.002,0.005,0.005,0.0032,0.0019,0.00261,0.00542,0.00616
mgdg1839Z12Z15Z160_h,0.003,0.002,0.002,0.004,0.003,0.00324,0.00201,0.00256,0.0048,0.00456
