ID,time0sec
ATPS4m,0.261249798293875
IDP_h,0.0400162110201758
PPAm,0
THD1m,0
ADK1,0.198508575347363
GLTS_h,0.0109446950338897
GALh,0.0117255295539859
FACOAL181,0
ACS,0.0513767685142609
CTPS1,0.000924956698373097
ASPTA,0
ASPATh,-0.0114566439609689
OAAAKGtm,0
ASPTAm,-0.0281636680538213
FACOAL160,0.00959898954332613
SERDC_m,0.0139865151324581
SAL_m,-0.222404488112147
ALATA_L,-0.0677202820803586
GLYK,0.00125188042612095
MDHm,0.00689790192825512
AKGMALtm,0.00689790192825512
MALOAAtm,0
ME1m,0
PGI,0.555400558454494
PGI_h,-0.0250701599845797
AMPDA,0
FACOAL180_1,0.0323306376135353
TRDR,0.000413948161217068
FTHFD,0.368631150700634
FTHFLi,0
ASNS1,0
ACITL,0
AKGCITtm,0
CITtam,0
OAACITtm,0
CSm,0.0218661056245278
G3PD1,0.0366983793693407
TPIh,-0.506338036286706
RNDR2,0.000100937782951325
PGMT,0
PGM_h,-0.0250701599845797
PCm,0
AKGICITtm,0
CITtcm,0
MALICITtm,0
OAAICITtm,0
METAT,0.0235810918654053
GHMT2rm,-0.1934481267715
PEPC_m,0.0431318717501058
PYK,0
AGPOP,0
PYK3,0
PEPC_h,0.00983292460443081
PPDK_h,0
PYKm,0.862181735528775
PPCKm,0
SAT,0
RNDR1,0.000106036297657209
r0280,0
DHFR2i,0.000106036297657209
DHFR,0
AGTim,0
MALSp,0
FACOAL1821,0.000349696680703249
PDHe3hr,1.0037478099116
GCC2cm,0
PYDXK,0
PYDXPP,0
PRPPS,0
GMPS,0.000818920400715892
GMPS2,0
IMPD,0.000818920400715892
PDHam1hi,1.0037478099116
PDHam1mi,0
THRD_Lm,0.00357442624974117
ALCD2y,0
THRA_m,0
SUAT_h,0
RNDR3,0.000206974080608534
DOLPMT,0
TMDS,0.000106036297665923
DTMPK,0.000106036297657209
URIDK2r,0
CCP2_m,0
CYSS_1,0
AHCi,0.0235810918653669
GAPD,0.336118164457048
GAPDH_nadp_hi,1.2045507015423
PGKh,-1.2045507015423
GAPDHm,-0.214543784791886
ENO_h,-0.423025251180661
ENOm,0.905313607278913
G6PDH2r,0
DMORh,0
KARA1im,0.0112604628894619
MG3_c,0
MG2_c,0
CBL_m,0
IDIh,0
PETHCT,0.00616494089612001
DHFOR,0
THFOR1,0
THFOR2,0
FOLR2_1,0
GGPS_h,0.000874954313427933
GUAD,0
LDHm,0
MI3PS,0
DVPCHLDR,2.75574564057024e-05
PCHLDOR_h,0
PDXPP,0
PYDXNK,0
SDH_m,-0.0103466145766333
PYDXS,0
UDPGD,0
MTMOHT,0
PGLYCPh,0
IPPSh,0.0062378089033101
PPNCL_m,0
METS_1,0.0247517822457439
MTHFR2_1,0.024751782245763
MTHFR3_1,0
GND,0
PGDHh,0
EAR40x_1,0.120405854416228
OCBTm,0.00503734483288554
UPPDC1_1,0.000116369156390987
DVCHLDR,0
DVPCHLDOR_h,0
