ID,time0sec
ATPS4m,0.258121573441031
IDP_h,0.0388440335704449
PPAm,0
THD1m,0
ADK1,0.200627635167908
GLTS_h,0.0133446751786966
GALh,0.0141174227990362
FACOAL181,0
ACS,0.0538413942854875
CTPS1,0.000915377166358634
ASPTA,0
ASPATh,-0.0133575674376516
OAAAKGtm,0
ASPTAm,-0.0301425906802706
FACOAL160,0.00888871226661088
SERDC_m,0.0136743966538074
SAL_m,-0.223839621774687
ALATA_L,-0.074037063137439
GLYK,0.000882159375109339
MDHm,0.00757441496466527
AKGMALtm,0.00757441496466527
MALOAAtm,0
ME1m,0
PGI,0.55362034390555
PGI_h,-0.0244868275894987
AMPDA,0
FACOAL180_1,0.0326093887921723
TRDR,0.000409661015963091
FTHFD,0.370998324898742
FTHFLi,0
ASNS1,0
ACITL,0
AKGCITtm,0
CITtam,0
OAACITtm,0
CSm,0.0237999878692283
G3PD1,0.0350658404647675
TPIh,-0.494879784341947
RNDR2,9.98923987168141e-05
PGMT,0
PGM_h,-0.0244868275894987
PCm,0
AKGICITtm,0
CITtcm,0
MALICITtm,0
OAAICITtm,0
METAT,0.0227130859444146
GHMT2rm,-0.193981781959678
PEPC_m,0.0463681635847907
PYK,0
AGPOP,0
PYK3,0
PEPC_h,0.0115436675869526
PPDK_h,0
PYKm,0.847960771725445
PPCKm,0
SAT,0
RNDR1,0.000104938109264732
r0280,0
DHFR2i,0.000104938109264732
DHFR,0
AGTim,0
MALSp,0
FACOAL1821,0.000348368827307711
PDHe3hr,0.979536400240022
GCC2cm,0
PYDXK,0
PYDXPP,0
PRPPS,0
GMPS,0.000810439057093902
GMPS2,0
IMPD,0.000810439057093902
PDHam1hi,0.979536400239967
PDHam1mi,0
THRD_Lm,0.00399298836823116
ALCD2y,0
THRA_m,0
SUAT_h,0
RNDR3,0.000204830507981546
DOLPMT,0
TMDS,0.000104938109302566
DTMPK,0.000104938109264732
URIDK2r,0
CCP2_m,0
CYSS_1,0
AHCi,0.0227130859443605
GAPD,0.348785896992354
GAPDH_nadp_hi,1.17873159897692
PGKh,-1.17873159897692
GAPDHm,-0.216989438120095
ENO_h,-0.421805400872927
ENOm,0.894328935310227
G6PDH2r,0
DMORh,0
KARA1im,0.0125797045701167
MG3_c,0
MG2_c,0
CBL_m,0
IDIh,0
PETHCT,0.00614156745869719
DHFOR,0
THFOR1,0
THFOR2,0
FOLR2_1,0
GGPS_h,0.000827262316151697
GUAD,0
LDHm,0
MI3PS,0
DVPCHLDR,2.72720512839442e-05
PCHLDOR_h,0
PDXPP,0
PYDXNK,0
SDH_m,-0.0108037006574477
PYDXS,0
UDPGD,0
MTMOHT,0
PGLYCPh,0
IPPSh,0.0069685815566715
PPNCL_m,0
METS_1,0.0240209068060722
MTHFR2_1,0.0240209068060213
MTHFR3_1,0
GND,0
PGDHh,0
EAR40x_1,0.117238060862075
OCBTm,0.00562737507573274
UPPDC1_1,0.000114598359084124
DVCHLDR,0
DVPCHLDOR_h,0
FBP_h,0.245215649082716
FBA_h,-0.245215649082752
ORNTArm,0
GRTT,0
DMATT,0
FPPS_h,0.000827262316151697
GPPS_h,0.000827262316151697
IDS1,0.00248178694845509
IDS2,0.000827262316151697
HMGLm,0
FACOAL1831,0.0263873679311225
MCOATA_1,0.854969643966797
MMSAD1m,0
NITR,0.15913541739182
GGDR,0
CHORM,0.00535777907850843
FCLT_h,0
HYPOE,0
PYDAMK,0
PRUK_1,1.18153473814387
TALA_h,0
SELCYSLY2,0
SELTOR_c,0
SPMS,0
SUCOASm,0
EAR120x_1,0.117238060862075
EAR60x_1,0.117238060862075
EAR160x_1,0.110978654502906
RPEh,-0.435327116287681
TKT1h,-0.214598294794428
TKL2_h,0.220728821493253
P5CR,0.00392517601748109
DAPEP_h,0.00132831422206436
DPHS,0.00613052669881356
ACACT10m,0
OIVD3m,0
OIVD2m,0
IMPDH_h,0.0069685815566715
DHQS_1,0.00613052669881356
SERPT,0
KARI,0.00399298836828166
KARI_23dhmp,0.00399298836823116
MCCCrm,0
MGCHrm,0
OIVD1m,0
3OAS181_1,0.00746356739987961
3OAS120_h,0.117238060862075
3OAS100_h,0.117238060862075
3OAS60_h,0.117238060862075
3OAS140_h,0.117238060862075
3OAS80_h,0.117238060862075
3OAS180_h,0.0330990568915042
3OAS160_h,0.110978654502906
CHRS,0.00613052669881356
ADCS,0
CMS_h,0.00330904926465792
FUMAC,0
HGNTOR,0
ASADH,0.0115436675869526
ASPK_1,0.0115436675869526
AIRCr,0.000915377166393228
PRASCSi,0.000915377166358641
MTRI,0
MTRK,0
MTAN_m,0
AGK_h,0.00562737507569989
3OAS40_h,0.117238060862075
PDHam2hi,0.979536400239967
PDHam2mi,0
PDHe2r,0
ARGSS,0.00562737507569989
ASPCT,0.0108037006574248
DHORTS,-0.0108037006574477
NCPA_c,0
CAS,0
DADK,0
ADSS,0.00103166272261818
GLCNACPT_c,0
TMTD,0
DXRI,0.00330904926465792
PRAIS,0.000915377166358641
PRFGS,0.000915377166358641
LCYG,0.000413631158039607
G1SAT_h,-0.000916786872721786
G5SD,0.00392517601748109
GTHS_h,0
HISTD,0.000926724613353443
FACOAL1832,0.000344605466074484
MPML_h,0.000114598359084124
MPMT_h,-0.000114598359118645
NOR,0.000413631158039607
CYEUOLCYCI,0
OBFOOLOR,0
CMK,0.00330904926460679
PPNDH,0.00354387922777719
PDS1,0.000413631158039607
PSY_h,0.000413631158075849
PPBNGD,0.000114598359118645
PPBNGS_h,0.000458393436336495
CPPPGO_1,0.000114598359084124
PPPGO_1,0.000114598359084124
PRAGSr,0.000915377166358641
IG3PS,0.000926724613353443
PRMICI,0.000926724613353443
PSP_m,0
PSPPS,0
FBA3hi,0.214598294794438
SBP_1,0.214598294794438
