ID,time0sec
ATPS4m,0.267548352088966
IDP_h,0.0403600643047092
PPAm,0
THD1m,0
ADK1,0.197211224071686
GLTS_h,0.0103341853313208
GALh,0.0111224929486329
FACOAL181,0
ACS,0.049766575115756
CTPS1,0.000933809137432634
ASPTA,0
ASPATh,-0.010735110183191
OAAAKGtm,0
ASPTAm,-0.0262259148498742
FACOAL160,0.0102576547263314
SERDC_m,0.0142633730431276
SAL_m,-0.227597532901314
ALATA_L,-0.0632542510670646
GLYK,0.00149738400979808
MDHm,0.00649962014381344
AKGMALtm,0.00649962014381344
MALOAAtm,0
ME1m,0
PGI,0.559685519546179
PGI_h,-0.0255517915152268
AMPDA,0
FACOAL180_1,0.0320862635119011
TRDR,0.000417909912712631
FTHFD,0.378770899865447
FTHFLi,0
ASNS1,0
ACITL,0
AKGCITtm,0
CITtam,0
OAACITtm,0
CSm,0.0206832278088433
G3PD1,0.0380828416303984
TPIh,-0.516232071972581
RNDR2,0.000101903823626974
PGMT,0
PGM_h,-0.0255517915152268
PCm,0
AKGICITtm,0
CITtcm,0
MALICITtm,0
OAAICITtm,0
METAT,0.0243435411801063
GHMT2rm,-0.198979232226748
PEPC_m,0.040409522514941
PYK,0
AGPOP,0
PYK3,0
PEPC_h,0.00922434767807619
PPDK_h,0
PYKm,0.883417080586669
PPCKm,0
SAT,0
RNDR1,0.000107051132729341
r0280,0
DHFR2i,0.000107051132729341
DHFR,0
AGTim,0
MALSp,0
FACOAL1821,0.000346535178332812
PDHe3hr,1.02461694384806
GCC2cm,0
PYDXK,0
PYDXPP,0
PRPPS,0
GMPS,0.000826758004703289
GMPS2,0
IMPD,0.000826758004703289
PDHam1hi,1.02461694384808
PDHam1mi,0
THRD_Lm,0.00332586064843237
ALCD2y,0
THRA_m,0
SUAT_h,0
RNDR3,0.000208954956356316
DOLPMT,0
TMDS,0.00010705113277254
DTMPK,0.000107051132729341
URIDK2r,0
CCP2_m,0
CYSS_1,0
AHCi,0.0243435411800874
GAPD,0.327765933304249
GAPDH_nadp_hi,1.22667655950022
PGKh,-1.22667655950022
GAPDHm,-0.218994507919547
ENO_h,-0.424070965093506
ENOm,0.923826603101588
G6PDH2r,0
DMORh,0
KARA1im,0.0104769487740427
MG3_c,0
MG2_c,0
CBL_m,0
IDIh,0
PETHCT,0.00618600804389303
DHFOR,0
THFOR1,0
THFOR2,0
FOLR2_1,0
GGPS_h,0.000842792672997198
GUAD,0
LDHm,0
MI3PS,0
DVPCHLDR,2.78211991826538e-05
PCHLDOR_h,0
